날짜,종가,시가,고가,저가,거래량,변동 %
2024-11-28,133138000.0,132999000.0,134577000.0,131438000.0,2941.11026977,0.10%
2024-11-27,132999000.0,128800000.0,134300000.0,127900000.0,4363.00829391,3.26%
2024-11-26,128783000.0,129791000.0,132579000.0,127416000.0,7063.28251032,-0.78%
2024-11-25,129791000.0,136110000.0,136169000.0,129688000.0,5347.73938417,-4.64%
2024-11-24,136096000.0,136000000.0,137000000.0,131501000.0,6366.61145855,0.07%
2024-11-23,136000000.0,136879000.0,137178000.0,134195000.0,4775.60238543,-0.64%
2024-11-22,136879000.0,137050000.0,138770000.0,129500000.0,8879.19477738,-0.12%
2024-11-21,137050000.0,133180000.0,138707000.0,133001000.0,10359.96751008,2.91%
2024-11-20,133180000.0,129711000.0,133328000.0,128448000.0,5931.35430049,2.67%
2024-11-19,129720000.0,127142000.0,130998000.0,127050000.0,5034.84094069,2.03%
2024-11-18,127142000.0,126469000.0,128895000.0,126133000.0,5182.38906938,0.53%
2024-11-17,126472000.0,127130000.0,128000000.0,125252000.0,3321.82583352,-0.52%
2024-11-16,127071000.0,128128000.0,129103000.0,126090000.0,3914.09648698,-0.82%
2024-11-15,128236000.0,123543000.0,128950000.0,123370000.0,5943.50915703,3.80%
2024-11-14,123572000.0,128111000.0,130500000.0,121674000.0,9173.07983888,-3.54%
2024-11-13,128111000.0,124951000.0,131041000.0,122771000.0,11214.08048901,2.53%
2024-11-12,124967000.0,124476000.0,128010000.0,118864000.0,17037.75956278,0.39%
2024-11-11,124503000.0,111440000.0,125073000.0,111273000.0,12056.83132426,11.72%
2024-11-10,111440000.0,106294000.0,112470000.0,106050000.0,8111.0365608,4.84%
2024-11-09,106294000.0,106845000.0,106990000.0,105873000.0,2702.45288762,-0.52%
2024-11-08,106843000.0,104177000.0,107591000.0,104109000.0,5104.85574163,2.56%
2024-11-07,104115000.0,104085000.0,104999000.0,102290000.0,5517.18974843,0.03%
2024-11-06,104085000.0,96196000.0,104395000.0,96104000.0,17173.68278488,8.20%
2024-11-05,96170000.0,94289000.0,98074000.0,93958000.0,4785.81750822,1.99%
2024-11-04,94289000.0,95987000.0,96803000.0,93083000.0,3556.89181882,-1.77%
2024-11-03,95883000.0,97205000.0,97232000.0,93905000.0,4358.15713691,-1.36%
2024-11-02,97205000.0,97331000.0,97999000.0,96825000.0,1419.21063313,-0.13%
2024-11-01,97285000.0,98112000.0,99758000.0,95520000.0,4850.88260337,-0.84%
2024-10-31,98112000.0,100571000.0,100893000.0,97300000.0,3670.22663296,-2.45%
2024-10-30,100571000.0,101300000.0,101305000.0,99135000.0,3437.3159675,-0.72%
2024-10-29,101305000.0,97401000.0,102158000.0,97200000.0,5694.58179714,4.01%
2024-10-28,97401000.0,94824000.0,97714000.0,94520000.0,3447.08968512,2.72%
2024-10-27,94819000.0,93993000.0,95120000.0,93900000.0,1412.77364621,0.88%
2024-10-26,93993000.0,93762000.0,94298000.0,93297000.0,1181.9583116,0.25%
2024-10-25,93762000.0,94077000.0,95143000.0,92432000.0,3453.26947882,-0.33%
2024-10-24,94077000.0,92375000.0,94699000.0,92080000.0,2468.54308221,1.84%
2024-10-23,92375000.0,92877000.0,93000000.0,90860000.0,2169.77076181,-0.54%
2024-10-22,92877000.0,92161000.0,93380000.0,91090000.0,2390.90338556,0.78%
2024-10-21,92161000.0,93901000.0,94456000.0,91459000.0,3492.66954786,-1.85%
2024-10-20,93901000.0,93322000.0,94299000.0,92956000.0,1766.03106746,0.62%
2024-10-19,93322000.0,93358000.0,93593000.0,92769000.0,1204.1436611,-0.04%
2024-10-18,93330000.0,91758000.0,93697000.0,91510000.0,2703.40345601,1.71%
2024-10-17,91725000.0,91610000.0,92000000.0,91150000.0,2166.90172052,0.13%
2024-10-16,91610000.0,90518000.0,92350000.0,90194000.0,3290.95467218,1.21%
2024-10-15,90600000.0,88640000.0,91531000.0,87510000.0,5320.08065393,2.21%
2024-10-14,88640000.0,84782000.0,88963000.0,84300000.0,4502.93766545,4.55%
2024-10-13,84806000.0,84997000.0,85181000.0,83890000.0,1007.64328314,-0.22%
2024-10-12,84956000.0,84450000.0,85250000.0,84330000.0,1236.13303613,0.60%
2024-10-11,84451000.0,82131000.0,85474000.0,81749000.0,2292.25174675,2.82%
2024-10-10,82131000.0,82383000.0,83127000.0,80635000.0,2261.63071429,-0.31%
2024-10-09,82385000.0,84139000.0,84500000.0,82187000.0,1623.29835868,-2.08%
2024-10-08,84139000.0,83942000.0,85270000.0,83848000.0,1438.91380709,0.23%
2024-10-07,83942000.0,84436000.0,86301000.0,83884000.0,2788.21491807,-0.59%
2024-10-06,84533000.0,83997000.0,84710000.0,83600000.0,990.98870219,0.64%
2024-10-05,83956000.0,83804000.0,84190000.0,83511000.0,776.76532606,0.18%
2024-10-04,83805000.0,82401000.0,84300000.0,82038000.0,2177.10847718,1.70%
2024-10-03,82424000.0,81707000.0,82700000.0,81302000.0,1821.57540109,0.88%
2024-10-02,81707000.0,81500000.0,83300000.0,80940000.0,2890.80470844,0.25%
2024-10-01,81500000.0,83730000.0,84884000.0,80844000.0,4057.42297213,-2.66%
2024-09-30,83730000.0,85958000.0,85958000.0,83061000.0,3131.32274904,-2.59%
2024-09-29,85958000.0,86731000.0,86891000.0,85800000.0,1188.41412224,-0.89%
2024-09-28,86732000.0,86958000.0,87250000.0,86003000.0,1483.00508773,-0.26%
2024-09-27,86958000.0,85948000.0,87410000.0,85877000.0,2462.85215474,1.18%
2024-09-26,86000000.0,84362000.0,86602000.0,83800000.0,2865.16236011,1.94%
2024-09-25,84362000.0,85248000.0,85950000.0,84220000.0,1821.46293118,-1.04%
2024-09-24,85248000.0,84630000.0,85750000.0,84009000.0,1998.91561289,0.73%
2024-09-23,84631000.0,84838000.0,86250000.0,83832000.0,2655.34388664,-0.24%
2024-09-22,84829000.0,84429000.0,85500000.0,83401000.0,1869.26119943,0.47%
2024-09-21,84425000.0,84384000.0,84750000.0,84000000.0,1066.57067251,0.05%
2024-09-20,84385000.0,83891000.0,85478000.0,83377000.0,3257.11829911,0.59%
2024-09-19,83892000.0,82602000.0,85000000.0,82286000.0,4549.0273458,1.56%
2024-09-18,82604000.0,81116000.0,82618000.0,80008000.0,3362.15013751,1.83%
2024-09-17,81116000.0,78468000.0,82364000.0,77774000.0,3063.50091322,3.37%
2024-09-16,78469000.0,79691000.0,79860000.0,77740000.0,2425.49996851,-1.53%
2024-09-15,79690000.0,80524000.0,81009000.0,79090000.0,1293.20254846,-1.04%
2024-09-14,80524000.0,80930000.0,81174000.0,80040000.0,1324.44479737,-0.50%
2024-09-13,80930000.0,78269000.0,81100000.0,77700000.0,2847.08604999,3.40%
2024-09-12,78269000.0,77363000.0,78830000.0,77300000.0,2510.01259415,1.17%
2024-09-11,77301000.0,78091000.0,78200000.0,75380000.0,3055.31403806,-1.01%
2024-09-10,78089000.0,77274000.0,78485000.0,76432000.0,2189.56080713,1.05%
2024-09-09,77275000.0,74439000.0,78500000.0,74093000.0,3101.05486477,3.81%
2024-09-08,74437000.0,73640000.0,74880000.0,72992000.0,1592.04001829,1.08%
2024-09-07,73640000.0,73644000.0,74580000.0,73078000.0,1801.62027481,-0.01%
2024-09-06,73644000.0,76330000.0,76860000.0,72200000.0,6081.77185166,-3.52%
2024-09-05,76330000.0,78739000.0,79131000.0,76000000.0,2957.70339093,-3.06%
2024-09-04,78739000.0,78270000.0,79300000.0,76248000.0,3895.41394663,0.60%
2024-09-03,78272000.0,80247000.0,81101000.0,78250000.0,2562.51172354,-2.46%
2024-09-02,80205000.0,78303000.0,80610000.0,78235000.0,2207.5986061,2.43%
2024-09-01,78301000.0,80300000.0,80370000.0,78300000.0,2541.94042215,-2.49%
2024-08-31,80262000.0,80439000.0,80823000.0,80009000.0,841.99580262,-0.22%
2024-08-30,80439000.0,80745000.0,81250000.0,79225000.0,2858.21980495,-0.38%
2024-08-29,80790000.0,80618000.0,82700000.0,80151000.0,2539.08247784,0.21%
2024-08-28,80569000.0,80947000.0,81895000.0,79550000.0,3848.30364196,-0.47%
2024-08-27,80950000.0,84408000.0,84794000.0,80121000.0,4066.7490567,-4.10%
2024-08-26,84408000.0,86227000.0,86529000.0,84408000.0,2260.53739932,-2.11%
2024-08-25,86254000.0,85807000.0,86979000.0,85410000.0,1698.8163817,0.52%
2024-08-24,85767000.0,85600000.0,86390000.0,85155000.0,2204.28031834,0.20%
2024-08-23,85600000.0,82003000.0,86500000.0,82002000.0,4485.27203937,4.39%
2024-08-22,82003000.0,82900000.0,83101000.0,81280000.0,2138.23568495,-1.08%
2024-08-21,82900000.0,80751000.0,83600000.0,80567000.0,2882.78548851,2.66%
2024-08-20,80751000.0,81678000.0,83400000.0,80501000.0,3339.76112482,-1.13%
2024-08-19,81680000.0,81500000.0,81915000.0,80100000.0,2644.34129141,0.22%
2024-08-18,81500000.0,82821000.0,83679000.0,81500000.0,1727.83371254,-1.60%
2024-08-17,82849000.0,82185000.0,83000000.0,82042000.0,887.07641461,0.81%
2024-08-16,82209000.0,81044000.0,83400000.0,80296000.0,2629.8190762,1.44%
2024-08-15,81004000.0,82440000.0,83555000.0,79500000.0,3986.43185704,-1.74%
2024-08-14,82457000.0,84587000.0,85950000.0,82218000.0,3583.12495297,-2.52%
2024-08-13,84600000.0,83207000.0,85770000.0,82050000.0,2989.81215206,1.67%
2024-08-12,83221000.0,82816000.0,85000000.0,81000000.0,5072.09672139,0.49%
2024-08-11,82815000.0,85669000.0,86424000.0,82208000.0,2669.17265554,-3.33%
2024-08-10,85669000.0,85522000.0,86370000.0,84760000.0,1489.63387466,0.17%
2024-08-09,85518000.0,86397000.0,86704000.0,84000000.0,3892.85974175,-1.02%
2024-08-08,86397000.0,78386000.0,87980000.0,77941000.0,7126.01269616,10.22%
2024-08-07,78388000.0,80166000.0,81950000.0,77782000.0,5316.47766092,-2.22%
2024-08-06,80224000.0,77786000.0,82150000.0,77782000.0,7868.46700086,3.13%
2024-08-05,77833000.0,81871000.0,82256000.0,72100000.0,23878.79267178,-4.93%
2024-08-04,81871000.0,85954000.0,86311000.0,81684000.0,4532.63397761,-4.75%
2024-08-03,85957000.0,86691000.0,87690000.0,85000000.0,4059.37513687,-0.85%
2024-08-02,86691000.0,91789000.0,92200000.0,86377000.0,5089.66250349,-5.55%
2024-08-01,91789000.0,90346000.0,92300000.0,88001000.0,5048.04552891,1.60%
2024-07-31,90345000.0,92790000.0,93298000.0,90345000.0,3099.02844262,-2.63%
2024-07-30,92788000.0,93605000.0,93878000.0,91825000.0,2825.61883321,-0.87%
2024-07-29,93618000.0,95363000.0,97100000.0,93203000.0,4778.70828116,-1.83%
2024-07-28,95363000.0,94341000.0,95380000.0,93600000.0,2056.69856884,1.08%
2024-07-27,94292000.0,94639000.0,96813000.0,93150000.0,4913.83842022,-0.37%
2024-07-26,94727000.0,92475000.0,95000000.0,92286000.0,3254.87216648,2.44%
2024-07-25,92465000.0,91501000.0,93138000.0,89202000.0,4242.34259951,1.05%
2024-07-24,91501000.0,92196000.0,93494000.0,91051000.0,3120.28733945,-0.75%
2024-07-23,92230000.0,94284000.0,94748000.0,92000000.0,3198.17266819,-2.18%
2024-07-22,94357000.0,95000000.0,95353000.0,93050000.0,2864.06872329,-0.68%
2024-07-21,95000000.0,94073000.0,95299000.0,92413000.0,2999.30004219,0.99%
2024-07-20,94065000.0,93004000.0,94624000.0,92736000.0,1966.82922042,1.14%
2024-07-19,93004000.0,89850000.0,94073000.0,88675000.0,4216.76104722,3.51%
2024-07-18,89850000.0,89452000.0,91200000.0,89049000.0,2571.16592106,0.44%
2024-07-17,89467000.0,90825000.0,92159000.0,89380000.0,3690.86942876,-1.50%
2024-07-16,90807000.0,91162000.0,91544000.0,87300000.0,6229.90082082,-0.39%
2024-07-15,91162000.0,85430000.0,91294000.0,85269000.0,5087.5047679,6.71%
2024-07-14,85430000.0,82901000.0,86000000.0,82860000.0,3162.56205447,3.05%
2024-07-13,82901000.0,81548000.0,83700000.0,81300000.0,1698.9670231,1.66%
2024-07-12,81540000.0,81070000.0,82309000.0,80085000.0,2003.05277025,0.58%
2024-07-11,81070000.0,81926000.0,83795000.0,81000000.0,2930.42730849,-1.04%
2024-07-10,81896000.0,82043000.0,83825000.0,81096000.0,2927.47972497,-0.18%
2024-07-09,82043000.0,80499000.0,82300000.0,80000000.0,2547.62184575,1.92%
2024-07-08,80534000.0,79397000.0,82700000.0,77880000.0,5094.76571434,1.43%
2024-07-07,79397000.0,82850000.0,82940000.0,79280000.0,2527.24731033,-4.17%
2024-07-06,82826000.0,81118000.0,83202000.0,79938000.0,2664.49967064,2.11%
2024-07-05,81118000.0,81680000.0,82544000.0,77335000.0,9719.19667539,-0.69%
2024-07-04,81680000.0,85331000.0,85592000.0,81207000.0,6151.28764968,-4.28%
2024-07-03,85331000.0,87270000.0,87623000.0,84508000.0,2823.97617467,-2.22%
2024-07-02,87248000.0,88259000.0,88847000.0,86987000.0,1525.13237149,-1.15%
2024-07-01,88253000.0,87920000.0,89644000.0,87609000.0,2120.47778236,0.38%
2024-06-30,87920000.0,85765000.0,88490000.0,85370000.0,1407.83744184,2.51%
2024-06-29,85765000.0,85157000.0,86000000.0,85102000.0,750.29847644,0.71%
2024-06-28,85158000.0,86875000.0,87510000.0,84740000.0,2112.30766272,-1.98%
2024-06-27,86884000.0,86092000.0,87957000.0,85396000.0,1879.37091558,0.92%
2024-06-26,86027000.0,87463000.0,88356000.0,85930000.0,1958.86652444,-1.64%
2024-06-25,87450000.0,85495000.0,87981000.0,85032000.0,3359.06885104,2.29%
2024-06-24,85496000.0,89100000.0,89441000.0,83101000.0,7434.8292641,-4.04%
2024-06-23,89046000.0,90874000.0,91382000.0,89033000.0,1076.73789827,-2.01%
2024-06-22,90874000.0,90308000.0,91086000.0,90141000.0,648.51462524,0.63%
2024-06-21,90308000.0,91753000.0,92031000.0,89501000.0,2713.72122916,-1.57%
2024-06-20,91780000.0,91549000.0,93581000.0,91500000.0,1989.14998554,0.25%
2024-06-19,91555000.0,91649000.0,92727000.0,91170000.0,1711.11748826,-0.10%
2024-06-18,91649000.0,93589000.0,93699000.0,90638000.0,3084.47656922,-2.07%
2024-06-17,93588000.0,94219000.0,94442000.0,91559000.0,3306.85987741,-0.67%
2024-06-16,94219000.0,93913000.0,94708000.0,93611000.0,841.90412208,0.33%
2024-06-15,93910000.0,93979000.0,94268000.0,93546000.0,906.41818634,-0.07%
2024-06-14,93978000.0,94614000.0,95202000.0,93001000.0,2232.32985005,-0.67%
2024-06-13,94614000.0,95930000.0,96356000.0,94107000.0,2161.15981221,-1.37%
2024-06-12,95934000.0,95329000.0,98204000.0,94502000.0,3395.53957526,0.63%
2024-06-11,95329000.0,97279000.0,97350000.0,93821000.0,3889.452394,-2.00%
2024-06-10,97276000.0,97983000.0,98031000.0,96980000.0,1491.30862127,-0.72%
2024-06-09,97983000.0,98137000.0,98400000.0,97710000.0,903.04585461,-0.16%
2024-06-08,98125000.0,97919000.0,98278000.0,97750000.0,1083.63453147,0.21%
2024-06-07,97919000.0,98320000.0,99650000.0,97219000.0,3319.13194888,-0.41%
2024-06-06,98334000.0,98385000.0,99400000.0,98009000.0,2226.53984487,-0.05%
2024-06-05,98385000.0,97490000.0,98989000.0,97280000.0,2709.00469092,0.92%
2024-06-04,97500000.0,95994000.0,97927000.0,95520000.0,2699.30531296,1.57%
2024-06-03,95994000.0,95000000.0,97358000.0,94825000.0,2779.47684838,1.05%
2024-06-02,95000000.0,94762000.0,95626000.0,94500000.0,1113.85982666,0.25%
2024-06-01,94720000.0,94504000.0,94850000.0,94361000.0,620.25035104,0.23%
2024-05-31,94505000.0,95005000.0,96000000.0,93700000.0,2203.22332533,-0.53%
2024-05-30,94943000.0,93910000.0,96120000.0,93620000.0,2703.78621192,1.10%
2024-05-29,93910000.0,94654000.0,95232000.0,93440000.0,2475.18788783,-0.79%
2024-05-28,94600000.0,96050000.0,96119000.0,93654000.0,3176.96320333,-1.51%
2024-05-27,96050000.0,95634000.0,97360000.0,95050000.0,2667.48347563,0.43%
2024-05-26,95610000.0,96240000.0,96590000.0,95400000.0,1583.87158304,-0.65%
2024-05-25,96240000.0,95214000.0,96598000.0,95192000.0,1452.89641348,1.08%
2024-05-24,95214000.0,94897000.0,96160000.0,93300000.0,2489.94183313,0.33%
2024-05-23,94900000.0,95421000.0,96881000.0,93000000.0,4396.1343619,-0.55%
2024-05-22,95421000.0,96717000.0,96999000.0,94640000.0,2799.80156982,-1.34%
2024-05-21,96700000.0,97260000.0,98150000.0,95571000.0,4609.75650446,-0.58%
2024-05-20,97260000.0,92185000.0,97264000.0,91931000.0,4413.1861654,5.51%
2024-05-19,92185000.0,93066000.0,93990000.0,91843000.0,2335.84848532,-0.95%
2024-05-18,93066000.0,92632000.0,93500000.0,92337000.0,1821.32715047,0.47%
2024-05-17,92646000.0,90839000.0,93123000.0,90700000.0,2713.8193315,1.99%
2024-05-16,90800000.0,92111000.0,92860000.0,90250000.0,3657.22884649,-1.42%
2024-05-15,92111000.0,86500000.0,92444000.0,86200000.0,5272.78652607,6.49%
2024-05-14,86500000.0,87934000.0,88225000.0,85801000.0,2756.81157854,-1.63%
2024-05-13,87928000.0,86521000.0,88485000.0,85410000.0,3085.90700562,1.63%
2024-05-12,86521000.0,85791000.0,86978000.0,85618000.0,1042.82371152,0.85%
2024-05-11,85791000.0,85842000.0,86500000.0,85209000.0,1299.78149293,-0.06%
2024-05-10,85842000.0,88116000.0,88480000.0,85120000.0,3277.85722892,-2.58%
2024-05-09,88116000.0,85872000.0,88500000.0,85020000.0,3096.80934359,2.61%
2024-05-08,85872000.0,87595000.0,88566000.0,85109000.0,3819.52775807,-1.97%
2024-05-07,87595000.0,88780000.0,90157000.0,87500000.0,2916.803769,-1.33%
2024-05-06,88804000.0,90100000.0,91681000.0,88500000.0,3986.16458238,-1.44%
2024-05-05,90061000.0,90303000.0,90759000.0,88331000.0,2550.73818403,-0.27%
2024-05-04,90303000.0,89291000.0,91123000.0,87910000.0,4208.08896117,1.13%
2024-05-03,89291000.0,83096000.0,89821000.0,82807000.0,8040.2538403,7.46%
2024-05-02,83078000.0,83499000.0,84000000.0,80601000.0,5609.70236742,-0.50%
2024-05-01,83499000.0,87152000.0,87625000.0,80005000.0,15078.237548,-4.19%
2024-04-30,87137000.0,91400000.0,92540000.0,85606000.0,7328.91773497,-4.66%
2024-04-29,91400000.0,90533000.0,92000000.0,88500000.0,4650.34162208,0.96%
2024-04-28,90530000.0,91499000.0,92630000.0,90153000.0,1861.37990104,-1.06%
2024-04-27,91499000.0,91955000.0,92175000.0,90292000.0,2455.80711714,-0.50%
2024-04-26,91951000.0,92761000.0,93000000.0,91465000.0,2016.93752002,-0.87%
2024-04-25,92745000.0,93518000.0,94319000.0,91213000.0,3762.56315286,-0.83%
2024-04-24,93534000.0,96071000.0,96627000.0,92734000.0,3593.11116027,-2.64%
2024-04-23,96045000.0,97239000.0,97592000.0,95246000.0,3179.44418004,-1.23%
2024-04-22,97192000.0,94911000.0,97627000.0,94622000.0,3221.84889236,2.40%
2024-04-21,94868000.0,94840000.0,95989000.0,94312000.0,2369.21252418,0.03%
2024-04-20,94805000.0,93390000.0,95600000.0,92615000.0,2666.36468567,1.52%
2024-04-19,93390000.0,93392000.0,95958000.0,88500000.0,8931.11165293,-0.00%
2024-04-18,93356000.0,91439000.0,94200000.0,90000000.0,5793.82700325,2.10%
2024-04-17,91419000.0,95597000.0,96500000.0,90200000.0,7117.39044578,-4.37%
2024-04-16,95597000.0,96530000.0,96941000.0,93500000.0,6058.36670549,-0.97%
2024-04-15,96527000.0,98931000.0,99490000.0,95702000.0,5860.57730753,-2.43%
2024-04-14,98905000.0,97092000.0,99180000.0,95224000.0,6601.79791673,1.87%
2024-04-13,97149000.0,99645000.0,100569000.0,95000000.0,9545.1942808,-2.50%
2024-04-12,99776000.0,100542000.0,101426000.0,98985000.0,5005.55856794,-0.76%
2024-04-11,100541000.0,100601000.0,101452000.0,100031000.0,3026.45443123,-0.06%
2024-04-10,100600000.0,99409000.0,101750000.0,97614000.0,4307.83087037,1.20%
2024-04-09,99350000.0,102050000.0,102399000.0,98400000.0,4778.27379895,-2.65%
2024-04-08,102101000.0,99369000.0,103084000.0,99100000.0,5621.6941615,2.75%
2024-04-07,99369000.0,99000000.0,100450000.0,98976000.0,2132.30263827,0.37%
2024-04-06,99023000.0,98385000.0,99888000.0,97745000.0,1885.55868844,0.65%
2024-04-05,98394000.0,99445000.0,99669000.0,96800000.0,3533.18774879,-1.06%
2024-04-04,99361000.0,96502000.0,99912000.0,95598000.0,4377.11634387,2.96%
2024-04-03,96502000.0,96053000.0,97300000.0,94682000.0,4274.27113577,0.47%
2024-04-02,96053000.0,100100000.0,100100000.0,95000000.0,8066.15019928,-4.04%
2024-04-01,100100000.0,100991000.0,101098000.0,98658000.0,4739.72230488,-0.88%
2024-03-31,100970000.0,99985000.0,101133000.0,99930000.0,2112.03397974,0.99%
2024-03-30,99985000.0,99876000.0,100317000.0,99455000.0,1962.11149493,0.11%
2024-03-29,99801000.0,100900000.0,101100000.0,99210000.0,4351.27001019,-1.09%
2024-03-28,100900000.0,99890000.0,101725000.0,99251000.0,5332.23099753,1.01%
2024-03-27,99890000.0,100051000.0,101900000.0,98700000.0,6873.29706874,-0.16%
2024-03-26,100051000.0,99202000.0,100800000.0,98830000.0,5187.8255505,0.86%
2024-03-25,99202000.0,96624000.0,100500000.0,95600000.0,7510.92358508,2.67%
2024-03-24,96624000.0,93317000.0,97252000.0,93079000.0,3888.32456609,3.54%
2024-03-23,93274000.0,93850000.0,95609000.0,92593000.0,3672.55444643,-0.61%
2024-03-22,93855000.0,95618000.0,96500000.0,92222000.0,6646.70819911,-1.84%
2024-03-21,95552000.0,99726000.0,99801000.0,95000000.0,7441.53702699,-4.19%
2024-03-20,99726000.0,92541000.0,100216000.0,89845000.0,14156.97655657,7.76%
2024-03-19,92572000.0,99042000.0,99700000.0,92027000.0,14040.62247096,-6.53%
2024-03-18,99040000.0,99934000.0,100233000.0,97623000.0,6061.17057346,-0.89%
2024-03-17,99922000.0,96769000.0,100299000.0,94300000.0,10512.20194197,3.26%
2024-03-16,96767000.0,101010000.0,102407000.0,95700000.0,7805.49537673,-4.20%
2024-03-15,101000000.0,102506000.0,104131000.0,95600000.0,17862.96961701,-1.47%
2024-03-14,102506000.0,104121000.0,105000000.0,100000000.0,10526.11243481,-1.55%
2024-03-13,104122000.0,101200000.0,104865000.0,100909000.0,7708.11925332,2.89%
2024-03-12,101200000.0,100404000.0,102350000.0,99000000.0,8326.93269496,0.79%
2024-03-11,100404000.0,97501000.0,101940000.0,95132000.0,14017.56814882,2.98%
2024-03-10,97495000.0,95946000.0,98445000.0,95904000.0,5997.98580277,1.61%
2024-03-09,95946000.0,96237000.0,96420000.0,95120000.0,3946.68168858,-0.30%
2024-03-08,96237000.0,94044000.0,98543000.0,94000000.0,8721.93321965,2.33%
2024-03-07,94060000.0,93325000.0,95678000.0,92670000.0,5792.49252841,0.79%
2024-03-06,93325000.0,91284000.0,94917000.0,88233000.0,12290.20386486,2.24%
2024-03-05,91275000.0,95500000.0,97000000.0,88024000.0,22134.5823534,-4.42%
2024-03-04,95500000.0,87978000.0,95586000.0,87302000.0,13254.11820787,8.55%
2024-03-03,87982000.0,86382000.0,87993000.0,85000000.0,6017.57168637,1.85%
2024-03-02,86383000.0,87397000.0,87724000.0,86090000.0,5481.66253212,-1.16%
2024-03-01,87397000.0,85911000.0,88500000.0,85910000.0,6256.97193595,1.73%
2024-02-29,85910000.0,87695000.0,90000000.0,85244000.0,14269.12684354,-2.04%
2024-02-28,87634000.0,78621000.0,88424000.0,78082000.0,19254.09747335,11.46%
2024-02-27,78619000.0,74741000.0,79183000.0,74554000.0,10168.66847875,5.19%
2024-02-26,74742000.0,71254000.0,75000000.0,70000000.0,6152.52849944,4.90%
2024-02-25,71256000.0,71107000.0,71595000.0,70907000.0,1867.42810931,0.21%
2024-02-24,71107000.0,70804000.0,71467000.0,70542000.0,2768.92244263,0.43%
2024-02-23,70805000.0,71600000.0,71835000.0,70657000.0,2937.89362228,-1.11%
2024-02-22,71601000.0,72397000.0,72399000.0,71458000.0,2956.43290437,-1.10%
2024-02-21,72397000.0,72160000.0,72465000.0,71100000.0,3784.15692927,0.33%
2024-02-20,72191000.0,71755000.0,73100000.0,71010000.0,5210.9537578,0.61%
2024-02-19,71755000.0,71968000.0,72412000.0,71728000.0,3590.53994514,-0.30%
2024-02-18,71964000.0,71500000.0,72158000.0,70669000.0,3622.39704322,0.65%
2024-02-17,71530000.0,72134000.0,72267000.0,69595000.0,6239.93681452,-0.84%
2024-02-16,72128000.0,71253000.0,72500000.0,70782000.0,4895.5305616,1.23%
2024-02-15,71253000.0,70195000.0,72216000.0,70190000.0,8360.6265065,1.51%
2024-02-14,70199000.0,67309000.0,70300000.0,66800000.0,8040.24948851,4.29%
2024-02-13,67309000.0,67002000.0,67698000.0,65800000.0,6757.73223342,0.46%
2024-02-12,67002000.0,65231000.0,67444000.0,64887000.0,6674.5189116,2.71%
2024-02-11,65230000.0,64549000.0,65500000.0,64256000.0,3675.68043315,1.06%
2024-02-10,64549000.0,63682000.0,64890000.0,63062000.0,3520.61476764,1.36%
2024-02-09,63682000.0,62011000.0,64955000.0,61717000.0,8059.0341961,2.69%
2024-02-08,62011000.0,60242000.0,62200000.0,60232000.0,4403.57321568,2.94%
2024-02-07,60232000.0,59020000.0,60373000.0,58745000.0,4016.91251278,2.05%
2024-02-06,59039000.0,58882000.0,59400000.0,58650000.0,2068.07481117,0.27%
2024-02-05,58882000.0,58814000.0,59800000.0,58311000.0,2801.14722486,0.12%
